id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
427,4.667693447,0.5,0,"['6617', '6616', '3158', '3504', '3107', '3041']",0.588849213,Jungle,"[8214, 8275, 8210, 8232, 8321, 8347]",9.323119326
40,4.259962972,0.51,0,"['4005', '3117', '3504', '6616', '3107', '3222']",0.601030954,Support,"[8229, 8226, 8234, 8237, 8139, 8105]",25.50762264
59,4.171784106,0.48,0,"['6630', '3047', '3071', '3053', '3075', '3748']",1.15588884,Jungle,"[8010, 9111, 9104, 8014, 8143, 8105]",9.474421062
24,2.462303147,0.48,0.1,"['3078', '3153', '3047', '3053', '6333', '3091']",3.396574297,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",9.356196721
126,2.698778802,0.46,0,"['6692', '3142', '3047', '3071', '3814', '6676']",5.438327966,Top,"[8010, 8009, 9104, 8299, 8304, 8345]",9.475146475
202,4.067821261,0.52,0.21,"['6671', '3009', '6676', '3094', '3031', '3095']",5.593631618,Bottom,"[8128, 8139, 8138, 8135, 8009, 9103]",9.001340403
222,3.282616905,0.5,0,"['6672', '3006', '3085', '3031', '3094', '3072']",5.484417371,Bottom,"[8008, 9111, 9103, 8014, 8275, 8236]",9.075868807
145,3.412349107,0.49,0.07,"['6672', '3006', '3085', '6676', '3031', '3115']",5.873828066,Bottom,"[9923, 8139, 8138, 8135, 8009, 9103]",9.63312059
429,2.92903243,0.45,0,"['6673', '3006', '3085', '3153', '3124', '3072']",5.591937657,Bottom,"[9923, 8139, 8138, 8135, 9111, 9104]",9.281974701
43,3.551491806,0.47,0,"['4005', '3158', '3504', '6616', '3107', '3157']",1.38600662,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",21.88140433
30,3.139783242,0.48,0,"['6653', '3020', '3157', '3089', '3165', '3135']",2.481156515,Jungle,"[8128, 8126, 8138, 8135, 8009, 8014]",8.533066514
38,3.155082001,0.49,0.04,"['6655', '3020', '3157', '3100', '3089', '3041']",5.096352325,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",9.059661504
55,2.894325948,0.49,0.19,"['6672', '3020', '3153', '3157', '3100', '3074']",4.780780821,Middle,"[8010, 9111, 9105, 8014, 8143, 8135]",9.266116875
10,2.73733812,0.52,0.03,"['4633', '3006', '3115', '3124', '3100', '3089']",5.735351135,Top,"[8005, 9101, 9104, 8014, 8139, 8135]",9.373715125
141,3.287757837,0.5,0.22,"['6630', '3047', '3071', '3142', '6333', '3814']",1.039687176,Jungle,"[8010, 9111, 9105, 8299, 8143, 8135]",8.063122202
