id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
235,3.870927905,0.49,0.03,"['6692', '3009', '6676', '3094', '3179', '3124']",2.590521592,Support,"[8351, 8304, 8345, 8410, 8009, 9104]",19.58824763
147,3.787696035,0.53,0.11,"['6617', '3158', '6616', '3116', '3157', '3504']",1.938311873,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",23.95541475
875,2.633747194,0.48,0.04,"['6631', '3047', '3153', '3742', '3053', '3075']",4.568921999,Top,"[8010, 9111, 9105, 8299, 8444, 8453]",11.93215986
35,3.709789088,0.5,0.05,"['6653', '3006', '6676', '3508', '3157', '3031']",1.056246596,Jungle,"[9923, 8143, 8138, 8105, 9104, 8014]",13.68070019
98,4.248236782,0.5,0.04,"['3068', '3047', '3075', '3748', '3143', '3065']",4.606845074,Top,"[8437, 8401, 8444, 8453, 8126, 8106]",10.04753385
102,3.57992013,0.48,0,"['4636', '3020', '3115', '3165', '3153', '3089']",1.87336247,Jungle,"[8128, 8143, 8138, 8135, 8210, 8236]",9.935483871
27,2.639547531,0.48,0,"['4633', '3116', '3047', '4637', '3742', '3165']",5.826219964,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",9.399397972
14,2.893264978,0.51,0,"['3068', '3047', '3075', '3748', '3143', '3142']",5.644975015,Top,"[8437, 8446, 8429, 8451, 8345, 8352]",9.803530828
15,3.595300681,0.48,0,"['6671', '3006', '3508', '3031', '3046', '6676']",6.472804046,Bottom,"[8008, 8009, 9103, 8014, 8275, 8236]",10.71018807
72,4.789454312,0.53,0,"['6664', '3742', '3111', '3075', '4401', '3053']",1.004442562,Jungle,"[8230, 8275, 8234, 8232, 8304, 8347]",9.325799508
37,3.966118625,0.51,0,"['6617', '3158', '3504', '6616', '3107', '3100']",0.596077756,Support,"[8214, 8226, 8210, 8237, 8009, 8017]",25.94360385
16,3.613062963,0.49,0.01,"['6617', '3158', '3504', '3107', '6616', '3222']",0.714243285,Support,"[8214, 8226, 8210, 8237, 8473, 8453]",23.73157719
50,3.480714148,0.51,0.05,"['6653', '3020', '3157', '4637', '3165', '3116']",2.281790658,Support,"[8112, 8126, 8138, 8106, 8313, 8347]",19.49860196
517,2.792339766,0.47,0.04,"['6653', '3020', '3157', '3165', '3100', '3089']",4.562805845,Middle,"[8021, 8009, 9105, 8299, 8345, 8347]",9.621313717
134,3.090774192,0.47,0.01,"['6655', '3020', '3157', '3165', '3089', '3135']",5.853169781,Middle,"[8112, 8139, 8138, 8135, 8226, 8210]",10.97368287
223,3.176846834,0.47,0,"['3068', '3075', '3047', '3065', '3742', '3109']",4.201689523,Top,"[8437, 8401, 8444, 8453, 8126, 8135]",13.23098279
163,3.504500808,0.47,0,"['6655', '3020', '3157', '3165', '3089', '3135']",1.629672431,Jungle,"[8128, 8126, 8138, 8135, 8275, 8232]",9.586156825
91,2.95962256,0.47,0,"['6630', '3142', '3074', '3158', '3814', '3071']",5.167568791,Middle,"[8010, 9111, 9105, 8299, 8139, 8135]",9.803100775
44,4.127086011,0.51,0,"['3190', '3050', '3047', '3109', '3107', '3504']",1.438602048,Support,"[8465, 8463, 8473, 8453, 8009, 9105]",21.88275316
17,2.276669169,0.5,0.06,"['6653', '3020', '3115', '4637', '3165', '3089']",5.39076788,Top,"[8437, 8446, 8473, 8451, 8126, 8135]",10.6315653
412,3.756383672,0.48,0.04,"['3190', '3117', '3050', '3109', '3107', '3075']",1.342785973,Support,"[8439, 8463, 8473, 8451, 8345, 8347]",25.53912692
18,3.367493961,0.51,0.03,"['6672', '3006', '3095', '3031', '3094', '3033']",5.890004789,Bottom,"[9923, 8139, 8138, 8135, 9111, 9103]",10.69931695
