id,KDA,WinRate,BanRate,Builds,CS,Role,Runes,Vision
43,3.459540409,0.46,0,"['4005', '3158', '3504', '6616', '3107', '3157']",1.282964475,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",18.24294156
30,2.942884157,0.49,0,"['6653', '3020', '3157', '3089', '3165', '3135']",2.431718286,Jungle,"[8128, 8126, 8138, 8135, 8009, 8014]",8.186682243
38,3.15390196,0.48,0.01,"['6655', '3020', '3157', '3100', '3089', '3041']",4.417715451,Middle,"[8021, 8009, 9105, 8014, 8139, 8135]",8.202440264
55,3.039856414,0.49,0.14,"['6672', '3020', '3153', '3157', '3074', '3100']",4.331486497,Middle,"[8010, 9111, 9105, 8014, 8143, 8135]",8.458289792
10,2.725593517,0.51,0.02,"['4633', '3006', '3115', '3124', '3100', '3089']",5.008755604,Top,"[8005, 9101, 9104, 8014, 8139, 8135]",8.166433744
141,3.126178047,0.49,0.19,"['6630', '3047', '3071', '3142', '6333', '3814']",0.955032658,Jungle,"[8010, 9111, 9105, 8299, 8143, 8135]",7.426786978
85,3.077417909,0.49,0,"['3152', '3020', '3157', '3165', '3089', '3135']",4.341488657,Top,"[8360, 8304, 8316, 8347, 8139, 8135]",8.390960079
121,3.185590064,0.49,0.21,"['6691', '3047', '3142', '3814', '6676', '6694']",0.635600104,Jungle,"[8128, 8143, 8138, 8135, 8275, 8232]",8.045898586
203,2.639440909,0.46,0,"['6672', '3006', '3095', '3094', '3031', '3085']",1.196093719,Jungle,"[8005, 9111, 9104, 8014, 8143, 8135]",8.097240473
240,3.403980524,0.5,0,"['6630', '3047', '3053', '3071', '3748', '3074']",4.387241303,Top,"[8010, 9111, 9104, 8299, 8446, 8473]",7.675598506
96,2.774913168,0.49,0,"['6672', '3006', '3124', '3085', '3153', '3072']",4.601471027,Bottom,"[8008, 9111, 9104, 8014, 8139, 8135]",7.986154533
7,3.730911164,0.45,0.02,"['6655', '3020', '3157', '3165', '3089', '3135']",3.706150025,Middle,"[8112, 8139, 8138, 8135, 8226, 8210]",9.222131148
64,2.974432384,0.43,0.06,"['6630', '3047', '3071', '3074', '6333', '3053']",0.800321678,Jungle,"[8010, 9111, 9104, 8014, 8304, 8347]",10.57822127
89,3.466645399,0.51,0.2,"['3190', '3117', '3050', '3075', '3109', '3193']",1.187810974,Support,"[8439, 8463, 8473, 8451, 8345, 8347]",17.67203033
876,3.124853448,0.46,0,"['6653', '3020', '4637', '3157', '3165', '3116']",1.421272361,Jungle,"[8128, 8126, 8138, 8135, 8304, 8347]",8.14345495
127,3.238400859,0.5,0,"['6655', '3020', '3157', '3165', '3089', '3135']",4.609851037,Middle,"[8112, 8126, 8138, 8106, 8226, 8210]",9.204122787
236,3.06206723,0.47,0.04,"['6672', '3006', '3508', '6676', '3031', '6675']",5.14178691,Bottom,"[8005, 8009, 9103, 8014, 8304, 8345]",8.530417926
117,3.988519045,0.49,0.01,"['6617', '3504', '3158', '3107', '6616', '3222']",0.771766744,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",19.05653856
99,3.805443177,0.51,0.16,"['6655', '3020', '3157', '3165', '3089', '4628']",1.90627193,Support,"[8229, 8226, 8210, 8237, 8345, 8347]",15.27265043
54,3.451426637,0.51,0.1,"['3068', '3047', '3075', '3157', '3165', '3110']",2.805572359,Support,"[8229, 8226, 8210, 8237, 8345, 8352]",11.25715203
90,3.290018608,0.52,0.03,"['6653', '3020', '3116', '4637', '3157', '3165']",5.372314373,Middle,"[8214, 8226, 8210, 8237, 8304, 8347]",9.67975016
57,3.466757057,0.52,0,"['3068', '3047', '3075', '4637', '3065', '3165']",2.069293203,Support,"[8229, 8226, 8210, 8237, 8304, 8345]",13.95569051
11,2.6809686,0.52,0.55,"['6672', '3006', '3124', '3153', '6676', '6333']",1.030379024,Jungle,"[8010, 9111, 9104, 8014, 8138, 8135]",7.576353638
21,3.504512953,0.52,0.11,"['6692', '3006', '6676', '3031', '3072', '3508']",4.71041145,Bottom,"[8229, 8226, 8233, 8237, 8126, 8135]",8.200412184
62,3.41496236,0.5,0.01,"['3078', '3047', '3074', '6333', '3071', '3053']",3.398829719,Top,"[8010, 9111, 9104, 8299, 8304, 8345]",8.038331956
82,2.68128362,0.49,0.13,"['4633', '3047', '4637', '3116', '3157', '3165']",4.67086754,Top,"[8010, 9111, 9105, 8299, 8139, 8135]",7.61550826
25,3.830481178,0.5,0.36,"['4005', '3157', '3020', '3165', '3107', '4637']",1.198467962,Support,"[8229, 8226, 8210, 8237, 8313, 8345]",18.84470459
267,4.497129184,0.5,0,"['4005', '3504', '3158', '6616', '3107', '3222']",0.435549679,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",19.45146408
75,3.192324315,0.53,0.12,"['6632', '3047', '3065', '3075', '3110', '3742']",4.992890407,Top,"[8437, 8446, 8429, 8451, 8304, 8347]",7.11644517
111,3.538217706,0.5,0.1,"['3190', '3047', '3050', '3075', '3109', '3193']",1.323575259,Support,"[8439, 8401, 8473, 8242, 8345, 8347]",16.7313608
518,3.458356845,0.51,0.01,"['6655', '3020', '3157', '3165', '3089', '4628']",3.800466742,Middle,"[8112, 8139, 8138, 8135, 8226, 8237]",11.1531564
76,2.720380148,0.41,0,"['4636', '3020', '3100', '3157', '3089', '3165']",1.0315197,Jungle,"[8128, 8143, 8138, 8135, 8304, 8347]",8.938123441
56,3.006586155,0.49,0.02,"['6691', '3006', '3142', '3814', '3181', '6676']",1.230074173,Jungle,"[8008, 9111, 9104, 8014, 8143, 8106]",7.924717258
20,4.349768043,0.53,0.01,"['3068', '3742', '3047', '3075', '3065', '3143']",0.839110942,Jungle,"[8230, 8275, 8234, 8232, 9111, 9104]",6.93199156
2,3.184094145,0.5,0.06,"['6630', '3047', '3053', '6333', '3071', '3065']",1.47619283,Jungle,"[8010, 9111, 9104, 8299, 8304, 8410]",7.485664708
61,3.73234492,0.48,0,"['6655', '3020', '3157', '3165', '3089', '3135']",4.818419837,Middle,"[8230, 8226, 8210, 8237, 8345, 8352]",9.432252388
516,3.164147968,0.48,0,"['3068', '3047', '3075', '3001', '3083', '3143']",4.513217559,Top,"[8437, 8446, 8473, 8451, 8345, 8347]",8.236560433
80,3.056144911,0.49,0.04,"['6692', '3047', '3071', '6333', '3053', '3179']",2.562360667,Support,"[8010, 9111, 9105, 8014, 8345, 8352]",11.1344951
78,3.187489457,0.47,0,"['3068', '3047', '3075', '3742', '3143', '3065']",3.227393365,Top,"[8437, 8401, 8473, 8453, 8345, 8352]",9.478622777
555,3.007952457,0.47,0.25,"['6691', '3117', '3142', '3179', '3814', '3026']",1.387331041,Support,"[9923, 8126, 8138, 8106, 8444, 8242]",15.62149323
246,2.542510225,0.41,0,"['6691', '3142', '3117', '3814', '3179', '6676']",3.813304228,Middle,"[8112, 8143, 8138, 8135, 8345, 8352]",9.078700526
133,2.618392097,0.49,0.01,"['6672', '3006', '3181', '6676', '3031', '3095']",4.429190476,Top,"[8005, 9101, 9104, 8014, 8275, 8233]",8.080338266
497,3.698398588,0.47,0,"['2065', '3117', '3050', '3107', '6616', '3504']",1.035077079,Support,"[8465, 8463, 8473, 8242, 8136, 8106]",18.45030251
33,3.740308442,0.55,0.05,"['3068', '3075', '3047', '3742', '3001', '3143']",0.77240994,Jungle,"[8439, 8463, 8429, 8242, 9111, 9104]",7.219686446
421,2.707228418,0.47,0,"['6693', '3047', '3071', '3814', '3053', '6333']",0.663929825,Jungle,"[8010, 9111, 9104, 8014, 8275, 8232]",7.397480756
526,3.063858042,0.5,0.01,"['3190', '3047', '3050', '3075', '3109', '3742']",1.289592466,Support,"[8439, 8463, 8429, 8451, 9111, 9105]",16.34456504
58,2.806174093,0.48,0.05,"['6630', '3047', '3071', '3053', '6333', '3074']",5.225135803,Top,"[8005, 9111, 9104, 8299, 8446, 8473]",7.88509048
107,2.635750746,0.44,0.01,"['6691', '3047', '3142', '6676', '3074', '3814']",1.162264675,Jungle,"[8010, 9111, 9104, 8014, 8143, 8135]",7.670700086
92,2.553791509,0.44,0,"['6630', '3074', '3047', '3071', '6333', '3053']",4.739694103,Top,"[8010, 9111, 9104, 8299, 8210, 8236]",7.84245283
68,3.106502135,0.5,0,"['4633', '3020', '3157', '3165', '4637', '3116']",4.602048046,Top,"[8229, 8275, 8234, 8237, 8139, 8135]",8.487417219
13,2.646463375,0.47,0,"['6655', '3020', '3157', '3165', '3089', '3135']",5.22125128,Middle,"[8230, 8226, 8210, 8236, 8139, 8135]",9.069548674
360,2.94544503,0.47,0.3,"['6673', '3006', '6676', '3072', '3031', '3508']",4.866905802,Bottom,"[8010, 8009, 9103, 8014, 8139, 8135]",7.975484465
113,4.226530681,0.5,0,"['3068', '3047', '3083', '3075', '3143', '3742']",0.955138913,Jungle,"[8439, 8463, 8429, 8451, 9111, 9104]",8.506881903
235,3.848395703,0.48,0.03,"['6692', '3009', '6676', '3094', '3179', '3031']",1.82454984,Support,"[8351, 8304, 8345, 8410, 8009, 9104]",15.08300007
147,3.730080766,0.51,0.06,"['6655', '3020', '3116', '3157', '6616', '3165']",1.64250984,Support,"[8214, 8226, 8210, 8237, 8345, 8347]",18.34000308
875,2.695397267,0.5,0.08,"['6631', '3047', '3153', '3742', '3053', '3748']",3.986373049,Top,"[8010, 9111, 9105, 8299, 8444, 8453]",8.572814703
35,3.431347572,0.49,0.06,"['6691', '3006', '6676', '3157', '3508', '3031']",1.004712602,Jungle,"[9923, 8143, 8138, 8105, 9104, 8014]",10.08025437
